"date","region","kata","market","market_id","latitude","longitude","category","commodity","commodity_id","unit","pricetype","currency","price","season"
"2007-09-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","54700","kiangazi kikuu"
"2007-09-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","57800","kiangazi kikuu"
"2007-10-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","60800","kiangazi kikuu"
"2007-10-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","61000","kiangazi kikuu"
"2007-11-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","60200","vuli"
"2007-11-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","65700","vuli"
"2007-12-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","62800","vuli"
"2007-12-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","75400","vuli"
"2008-01-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","78200","kiangazi kifupi"
"2008-01-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","103800","kiangazi kifupi"
"2008-02-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","72600","kiangazi kifupi"
"2008-02-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","103400","kiangazi kifupi"
"2008-03-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","88300","masika"
"2008-03-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","85000","masika"
"2008-04-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","97100","masika"
"2008-04-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","76500","masika"
"2008-05-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","85400","masika"
"2008-05-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","70900","masika"
"2008-06-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","87875","kiangazi kikuu"
"2008-06-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","82825","kiangazi kikuu"
"2008-07-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","81111.11","kiangazi kikuu"
"2008-07-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","83333.33","kiangazi kikuu"
"2008-08-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","80000","kiangazi kikuu"
"2008-08-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","92500","kiangazi kikuu"
"2008-09-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","90000","kiangazi kikuu"
"2008-09-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","94833","kiangazi kikuu"
"2008-10-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","91769","kiangazi kikuu"
"2008-10-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","98000","kiangazi kikuu"
"2008-11-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","99227","vuli"
"2008-11-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","115162","vuli"
"2008-12-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","95000","vuli"
"2008-12-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","100000","vuli"
"2009-01-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","120000","kiangazi kifupi"
"2009-01-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","100000","kiangazi kifupi"
"2009-02-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","135000","kiangazi kifupi"
"2009-02-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","138000","kiangazi kifupi"
"2009-03-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","135000","masika"
"2009-03-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","110000","masika"
"2009-04-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","120750","masika"
"2009-04-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","98250","masika"
"2009-05-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","110625","masika"
"2009-05-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","87687.5","masika"
"2009-06-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","112916.67","kiangazi kikuu"
"2009-06-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","106583.33","kiangazi kikuu"
"2009-08-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","110000","kiangazi kikuu"
"2009-09-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","110000","kiangazi kikuu"
"2009-10-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","105000","kiangazi kikuu"
"2009-11-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","110000","vuli"
"2009-12-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","105000","vuli"
"2010-01-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","125000","kiangazi kifupi"
"2010-02-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","130000","kiangazi kifupi"
"2010-03-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","125000","masika"
"2010-04-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","107000","masika"
"2010-05-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","107000","masika"
"2010-06-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","104231","kiangazi kikuu"
"2010-07-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","95625","kiangazi kikuu"
"2010-08-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","94792","kiangazi kikuu"
"2010-09-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","94529","kiangazi kikuu"
"2010-10-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","87914","kiangazi kikuu"
"2010-11-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","95700","vuli"
"2010-12-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","95714","vuli"
"2011-01-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","100000","kiangazi kifupi"
"2011-01-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","112083","kiangazi kifupi"
"2011-02-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","100600","kiangazi kifupi"
"2011-02-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","130500","kiangazi kifupi"
"2011-03-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","106166.6","masika"
"2011-03-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","131666.6","masika"
"2011-04-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","110000","masika"
"2011-04-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","100938","masika"
"2011-05-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","120000","masika"
"2011-05-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","105000","masika"
"2011-06-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","115000","kiangazi kikuu"
"2011-06-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","102500","kiangazi kikuu"
"2011-07-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","111042","kiangazi kikuu"
"2011-07-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","114833","kiangazi kikuu"
"2011-08-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","107292","kiangazi kikuu"
"2011-08-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","114646","kiangazi kikuu"
"2011-09-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","100313","kiangazi kikuu"
"2011-09-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","121563","kiangazi kikuu"
"2011-10-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","115417","kiangazi kikuu"
"2011-10-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","122708","kiangazi kikuu"
"2011-11-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","129615","vuli"
"2011-11-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","124231","vuli"
"2011-12-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","135357","vuli"
"2012-01-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","153077","kiangazi kifupi"
"2012-01-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","147308","kiangazi kifupi"
"2012-02-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","157577","kiangazi kifupi"
"2012-02-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","147115","kiangazi kifupi"
"2012-03-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","152778","masika"
"2012-03-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","143056","masika"
"2012-04-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","169545","masika"
"2012-04-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","138182","masika"
"2012-05-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","177423","masika"
"2012-05-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","144135","masika"
"2012-06-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","156100","kiangazi kikuu"
"2012-06-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","148950","kiangazi kikuu"
"2012-07-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","160769","kiangazi kikuu"
"2012-07-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","146038","kiangazi kikuu"
"2012-08-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","155000","kiangazi kikuu"
"2012-08-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","125000","kiangazi kikuu"
"2012-09-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","150000","kiangazi kikuu"
"2012-09-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","125375","kiangazi kikuu"
"2012-10-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","160500","kiangazi kikuu"
"2012-10-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","132000","kiangazi kikuu"
"2012-11-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","180833","vuli"
"2012-11-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","143750","vuli"
"2012-12-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","181666.67","vuli"
"2012-12-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","144444.44","vuli"
"2013-01-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","181250","kiangazi kifupi"
"2013-01-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","161000","kiangazi kifupi"
"2013-02-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","187045.45","kiangazi kifupi"
"2013-02-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","145000","kiangazi kifupi"
"2013-03-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","174375","masika"
"2013-03-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","150000","masika"
"2013-04-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","148229.25","masika"
"2013-04-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","131875","masika"
"2013-05-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","128500","masika"
"2013-05-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","119166.8","masika"
"2013-06-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","125000","kiangazi kikuu"
"2013-06-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","132222.33","kiangazi kikuu"
"2013-07-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","121875","kiangazi kikuu"
"2013-07-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","119375","kiangazi kikuu"
"2013-08-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","111250","kiangazi kikuu"
"2013-08-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","123888.83","kiangazi kikuu"
"2013-09-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","101666.75","kiangazi kikuu"
"2013-09-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","127291.75","kiangazi kikuu"
"2013-10-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","102500","kiangazi kikuu"
"2013-10-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","133750","kiangazi kikuu"
"2013-11-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","113958.5","vuli"
"2013-11-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","144791.75","vuli"
"2013-12-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","cereals and tubers","Rice","52","100 KG","Wholesale","TZS","115000","vuli"
"2013-12-15","Morogoro","Morogoro Urban","Morogoro","89","-6.82","37.67","pulses and nuts","Beans","50","100 KG","Wholesale","TZS","145000","vuli"
